"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\mon_ecommerce\dashboard\__init__.py", "Python", 0, 0, 0, -1, -1
"c:\mon_ecommerce\dashboard\admin.py", "Python", -222, 0, -97, -77, -396
"c:\mon_ecommerce\dashboard\apps.py", "Python", -4, 0, 0, -3, -7
"c:\mon_ecommerce\dashboard\migrations\0001_initial.py", "Python", -88, 0, -1, -7, -96
"c:\mon_ecommerce\dashboard\migrations\__init__.py", "Python", 0, 0, 0, -1, -1
"c:\mon_ecommerce\dashboard\models.py", "Python", -234, 0, -80, -49, -363
"c:\mon_ecommerce\dashboard\tests.py", "Python", -1, 0, -1, -2, -4
"c:\mon_ecommerce\dashboard\views.py", "Python", -251, 0, -97, -71, -419
"c:\mon_ecommerce\templates\accounts\address_form.html", "HTML", 0, 1463, 21, 232, 1716
"c:\mon_ecommerce\templates\accounts\address_list.html", "HTML", 0, 945, 24, 145, 1114
"c:\mon_ecommerce\templates\accounts\dashboard.html", "HTML", 0, 1495, 27, 237, 1759
"c:\mon_ecommerce\templates\accounts\login.html", "HTML", 0, 1281, 33, 200, 1514
"c:\mon_ecommerce\templates\accounts\order_detail.html", "HTML", 0, 1535, 31, 238, 1804
"c:\mon_ecommerce\templates\accounts\order_list.html", "HTML", 0, 1432, 27, 229, 1688
"c:\mon_ecommerce\templates\accounts\profile.html", "HTML", 0, 1311, 20, 201, 1532
"c:\mon_ecommerce\templates\accounts\profile_edit.html", "HTML", 0, 1156, 18, 182, 1356
"c:\mon_ecommerce\templates\accounts\register.html", "HTML", 0, 1327, 20, 214, 1561
"c:\mon_ecommerce\templates\admin\dashboard.html", "HTML", 0, 527, 26, 61, 614
"c:\mon_ecommerce\templates\base.html", "HTML", 0, 34, 9, 11, 54
"c:\mon_ecommerce\templates\components\footer.html", "HTML", 0, 1297, 21, 178, 1496
"c:\mon_ecommerce\templates\components\navbar.html", "HTML", 0, 1228, 19, 170, 1417
"c:\mon_ecommerce\templates\core\about.html", "HTML", 0, 1576, 25, 228, 1829
"c:\mon_ecommerce\templates\core\contact.html", "HTML", 0, 1784, 38, 265, 2087
"c:\mon_ecommerce\templates\core\faq.html", "HTML", 0, 1158, 22, 182, 1362
"c:\mon_ecommerce\templates\core\home.html", "HTML", 0, 1621, 32, 227, 1880
"c:\mon_ecommerce\templates\email\base_email.html", "HTML", 0, 253, 4, 39, 296
"c:\mon_ecommerce\templates\email\order_confirmation.html", "HTML", 0, 115, 0, 19, 134
"c:\mon_ecommerce\templates\orders\cart_detail.html", "HTML", 0, 2184, 61, 344, 2589
"c:\mon_ecommerce\templates\orders\checkout.html", "HTML", 0, 2988, 54, 455, 3497
"c:\mon_ecommerce\templates\orders\order_success.html", "HTML", 0, 898, 27, 101, 1026
"c:\mon_ecommerce\templates\payments\aitel_payment.html", "HTML", 0, 125, 4, 25, 154
"c:\mon_ecommerce\templates\payments\cash_on_delivery.html", "HTML", 0, 186, 6, 32, 224
"c:\mon_ecommerce\templates\payments\moov_payment.html", "HTML", 0, 134, 4, 26, 164
"c:\mon_ecommerce\templates\payments\payment_failed.html", "HTML", 0, 193, 8, 26, 227
"c:\mon_ecommerce\templates\payments\payment_method.html", "HTML", 0, 417, 19, 53, 489
"c:\mon_ecommerce\templates\payments\payment_success.html", "HTML", 0, 120, 5, 20, 145
"c:\mon_ecommerce\templates\shop\category_detail.html", "HTML", 0, 1640, 56, 189, 1885
"c:\mon_ecommerce\templates\shop\product_detail.html", "HTML", 0, 2176, 40, 322, 2538
"c:\mon_ecommerce\templates\shop\product_list.html", "HTML", 0, 2432, 33, 347, 2812
"c:\mon_ecommerce\templates\shop\product_search.html", "HTML", 0, 667, 30, 69, 766
"c:\mon_ecommerce\templates\test_services.py", "Python", 101, 0, 16, 14, 131
"Total", "-", -699, 35698, 504, 5070, 40573
