"filename", "language", "HTML", "Python", "comment", "blank", "total"
"c:\mon_ecommerce\templates\accounts\address_form.html", "HTML", 1463, 0, 21, 232, 1716
"c:\mon_ecommerce\templates\accounts\address_list.html", "HTML", 945, 0, 24, 145, 1114
"c:\mon_ecommerce\templates\accounts\dashboard.html", "HTML", 1495, 0, 27, 237, 1759
"c:\mon_ecommerce\templates\accounts\login.html", "HTML", 1281, 0, 33, 200, 1514
"c:\mon_ecommerce\templates\accounts\order_detail.html", "HTML", 1535, 0, 31, 238, 1804
"c:\mon_ecommerce\templates\accounts\order_list.html", "HTML", 1432, 0, 27, 229, 1688
"c:\mon_ecommerce\templates\accounts\profile.html", "HTML", 1311, 0, 20, 201, 1532
"c:\mon_ecommerce\templates\accounts\profile_edit.html", "HTML", 1156, 0, 18, 182, 1356
"c:\mon_ecommerce\templates\accounts\register.html", "HTML", 1327, 0, 20, 214, 1561
"c:\mon_ecommerce\templates\admin\dashboard.html", "HTML", 527, 0, 26, 61, 614
"c:\mon_ecommerce\templates\base.html", "HTML", 34, 0, 9, 11, 54
"c:\mon_ecommerce\templates\components\footer.html", "HTML", 1297, 0, 21, 178, 1496
"c:\mon_ecommerce\templates\components\navbar.html", "HTML", 1228, 0, 19, 170, 1417
"c:\mon_ecommerce\templates\core\about.html", "HTML", 1576, 0, 25, 228, 1829
"c:\mon_ecommerce\templates\core\contact.html", "HTML", 1784, 0, 38, 265, 2087
"c:\mon_ecommerce\templates\core\faq.html", "HTML", 1158, 0, 22, 182, 1362
"c:\mon_ecommerce\templates\core\home.html", "HTML", 1621, 0, 32, 227, 1880
"c:\mon_ecommerce\templates\email\base_email.html", "HTML", 253, 0, 4, 39, 296
"c:\mon_ecommerce\templates\email\order_confirmation.html", "HTML", 115, 0, 0, 19, 134
"c:\mon_ecommerce\templates\orders\cart_detail.html", "HTML", 2184, 0, 61, 344, 2589
"c:\mon_ecommerce\templates\orders\checkout.html", "HTML", 2988, 0, 54, 455, 3497
"c:\mon_ecommerce\templates\orders\order_success.html", "HTML", 898, 0, 27, 101, 1026
"c:\mon_ecommerce\templates\payments\aitel_payment.html", "HTML", 125, 0, 4, 25, 154
"c:\mon_ecommerce\templates\payments\cash_on_delivery.html", "HTML", 186, 0, 6, 32, 224
"c:\mon_ecommerce\templates\payments\moov_payment.html", "HTML", 134, 0, 4, 26, 164
"c:\mon_ecommerce\templates\payments\payment_failed.html", "HTML", 193, 0, 8, 26, 227
"c:\mon_ecommerce\templates\payments\payment_method.html", "HTML", 417, 0, 19, 53, 489
"c:\mon_ecommerce\templates\payments\payment_success.html", "HTML", 120, 0, 5, 20, 145
"c:\mon_ecommerce\templates\shop\category_detail.html", "HTML", 1640, 0, 56, 189, 1885
"c:\mon_ecommerce\templates\shop\product_detail.html", "HTML", 2176, 0, 40, 322, 2538
"c:\mon_ecommerce\templates\shop\product_list.html", "HTML", 2432, 0, 33, 347, 2812
"c:\mon_ecommerce\templates\shop\product_search.html", "HTML", 667, 0, 30, 69, 766
"c:\mon_ecommerce\templates\test_services.py", "Python", 0, 101, 16, 14, 131
"Total", "-", 35698, 101, 780, 5281, 41860
