"filename", "language", "Python", "comment", "blank", "total"
"c:\mon_ecommerce\shop\__init__.py", "Python", 0, 0, 1, 1
"c:\mon_ecommerce\shop\admin.py", "Python", 206, 30, 31, 267
"c:\mon_ecommerce\shop\apps.py", "Python", 4, 0, 3, 7
"c:\mon_ecommerce\shop\migrations\0001_initial.py", "Python", 108, 1, 7, 116
"c:\mon_ecommerce\shop\migrations\0002_alter_product_name_alter_product_slug.py", "Python", 17, 1, 6, 24
"c:\mon_ecommerce\shop\migrations\__init__.py", "Python", 0, 0, 1, 1
"c:\mon_ecommerce\shop\models.py", "Python", 229, 29, 40, 298
"c:\mon_ecommerce\shop\tests.py", "Python", 1, 1, 2, 4
"c:\mon_ecommerce\shop\urls.py", "Python", 9, 4, 6, 19
"c:\mon_ecommerce\shop\views.py", "Python", 72, 23, 23, 118
"Total", "-", 646, 89, 120, 855
